Vehicle_ID,Start_Time (s),Start_Intersection,Start_Direction,End_Time (s),End_Intersection,End_Direction
1272,709.8,5.0,2.0,711.2,5.0,2.0
1274,709.0,1.0,2.0,711.5,1.0,2.0
1275,711.1,1.0,2.0,714.1,1.0,2.0
1278,713.3,1.0,2.0,716.2,1.0,2.0
1280,713.3,5.0,2.0,714.0,5.0,2.0
1281,713.3,5.0,2.0,715.8,5.0,2.0
1285,716.9,5.0,2.0,719.6,5.0,2.0
1288,718.8,5.0,2.0,720.9,5.0,2.0
1289,733.5,1.0,1.0,877.8,5.0,1.0
1293,725.9,1.0,1.0,763.8,2.0,1.0
1300,720.7,1.0,2.0,722.5,1.0,2.0
1303,721.5,1.0,3.0,854.4,5.0,2.0
1308,735.9,1.0,1.0,879.8,5.0,1.0
1311,728.7,1.0,1.0,884.7,5.0,1.0
1314,738.9,3.0,1.0,851.8,5.0,2.0
1318,733.3,1.0,1.0,768.2,2.0,2.0
1320,732.6,4.0,3.0,785.8,5.0,1.0
1322,736.0,1.0,2.0,743.7,1.0,2.0
1331,738.6,1.0,1.0,883.3,5.0,1.0
1333,739.8,5.0,2.0,741.5,5.0,2.0
1336,740.1,4.0,3.0,789.6,5.0,1.0
1340,743.4,5.0,2.0,744.3,5.0,2.0
1343,742.6,1.0,1.0,887.2,5.0,1.0
1349,748.8,3.0,1.0,777.8,5.0,1.0
1350,746.9,1.0,3.0,881.9,5.0,1.0
1351,776.1,4.0,1.0,787.9,5.0,1.0
1364,763.2,1.0,2.0,888.9,5.0,1.0
1369,766.3,1.0,2.0,891.7,5.0,1.0
1382,768.6,1.0,2.0,900.6,5.0,2.0
1387,770.8,1.0,2.0,894.0,5.0,1.0
1390,772.7,1.0,2.0,895.7,5.0,1.0
1394,774.3,3.0,3.0,797.1,5.0,1.0
1424,793.1,4.0,1.0,871.4,5.0,1.0
1431,783.7,1.0,3.0,885.1,5.0,1.0
1440,787.0,3.0,3.0,877.7,5.0,1.0
1442,788.2,4.0,3.0,800.3,5.0,1.0
1452,837.3,2.0,1.0,973.4,5.0,1.0
1459,793.8,1.0,3.0,924.0,3.0,2.0
1473,803.7,1.0,3.0,969.3,5.0,1.0
1476,820.6,1.0,1.0,965.6,5.0,1.0
1479,808.7,5.0,2.0,810.0,5.0,2.0
1480,810.9,5.0,3.0,814.3,5.0,3.0
1483,824.0,1.0,1.0,977.9,5.0,1.0
1489,810.7,1.0,2.0,812.7,1.0,2.0
1490,812.8,1.0,2.0,816.0,1.0,2.0
1492,813.0,5.0,2.0,814.6,5.0,2.0
