time,type,intersection,direction,turning_left,vehicle
158.10,CheckWait,null,null,null,null
158.46,Resume,1,S,null,13
158.46,WaitUntil,1,S,false,13
159.01,Enter,1,S,null,18
159.06,Enter,1,S,null,19
159.90,TurnGreenLeft,5,E,null,null
160.20,Resume,null,null,null,272
160.20,CheckWait,null,null,null,null
160.32,Resume,3,S,null,176
160.32,WaitUntil,3,S,false,176
160.32,Resume,null,null,null,176
160.32,CheckWait,null,null,null,null
160.50,Resume,null,null,null,273
160.50,CheckWait,null,null,null,null
160.70,Enter,1,E,null,179
160.70,Resume,1,E,null,179
160.70,WaitUntil,1,E,false,179
160.72,Enter,1,S,null,20
160.80,Resume,null,null,null,274
160.80,CheckWait,null,null,null,null
161.10,Resume,null,null,null,275
161.10,CheckWait,null,null,null,null
161.40,Resume,null,null,null,276
161.40,CheckWait,null,null,null,null
161.70,Resume,null,null,null,277
161.70,CheckWait,null,null,null,null
161.83,Resume,1,S,null,14
161.83,WaitUntil,1,S,false,14
162.00,Resume,null,null,null,278
162.00,CheckWait,null,null,null,null
163.73,Resume,1,S,null,15
163.73,WaitUntil,1,S,false,15
163.90,TurnRedThrough,3,N,null,null
164.43,Enter,1,E,null,180
164.43,Resume,1,E,null,180
164.43,WaitUntil,1,E,false,180
164.61,Enter,1,S,null,21
165.20,TurnRedLeft,1,E,null,null
166.34,Exit,5,N,null,272
166.64,Exit,5,N,null,273
166.94,Exit,5,N,null,274
167.00,TurnGreenThrough,1,E,null,null
167.11,Resume,1,S,null,16
167.11,WaitUntil,1,S,false,16
167.24,Exit,5,N,null,275
167.54,Exit,5,N,null,276
167.84,Exit,5,N,null,277
168.14,Exit,5,N,null,278
168.20,TurnGreenThrough,1,W,null,null
168.21,Resume,5,S,null,207
168.21,WaitUntil,5,S,true,207
168.50,Resume,null,null,null,177
168.50,CheckWait,null,null,null,null
168.80,Resume,null,null,null,178
168.80,CheckWait,null,null,null,null
169.00,TurnGreenThrough,3,W,null,null
169.00,TurnGreenThrough,3,E,null,null
169.10,Resume,null,null,null,179
169.10,CheckWait,null,null,null,null
169.30,Resume,null,null,null,247
169.30,CheckWait,null,null,null,null
169.40,Resume,null,null,null,180
169.40,CheckWait,null,null,null,null
169.60,Resume,null,null,null,248
169.60,CheckWait,null,null,null,null
170.37,Resume,1,S,null,17
170.37,WaitUntil,1,S,false,17
171.64,Enter,1,S,null,22
172.14,Resume,2,S,null,6
172.14,WaitUntil,2,S,false,6
172.32,Resume,2,S,null,7
172.32,WaitUntil,2,S,false,7
173.15,Resume,1,S,null,18
173.15,WaitUntil,1,S,false,18
173.20,Resume,1,S,null,19
173.20,WaitUntil,1,S,false,19
173.30,TurnRedLeft,5,E,null,null
173.90,TurnGreenThrough,5,W,null,null
174.09,Enter,1,S,null,23
174.20,Resume,null,null,null,338
174.20,CheckWait,null,null,null,null
174.86,Resume,1,S,null,20
174.86,WaitUntil,1,S,true,20
175.48,Enter,1,S,null,24
175.69,Resume,3,S,null,5
175.69,WaitUntil,3,S,false,5
176.30,TurnGreenThrough,2,E,null,null
176.30,TurnGreenThrough,2,W,null,null
176.60,Resume,null,null,null,222
176.60,CheckWait,null,null,null,null
177.44,Enter,1,W,null,130
177.44,Resume,1,W,null,130
177.44,WaitUntil,1,W,true,130
178.74,Resume,1,S,null,21
178.74,WaitUntil,1,S,false,21
179.41,Enter,1,S,null,25
180.34,Exit,5,N,null,338
181.82,Resume,2,S,null,121
181.82,WaitUntil,2,S,false,121
182.08,Enter,1,S,null,26
182.12,Resume,2,S,null,122
182.12,WaitUntil,2,S,false,122
182.42,Resume,2,S,null,123
182.42,WaitUntil,2,S,true,123
182.44,Enter,3,W,null,235
182.44,Resume,3,W,null,235
182.44,WaitUntil,3,W,true,235
182.44,Resume,null,null,null,235
182.44,CheckWait,null,null,null,null
182.72,Resume,2,S,null,124
182.72,WaitUntil,2,S,false,124
183.02,Resume,2,S,null,125
183.02,WaitUntil,2,S,false,125
183.32,Resume,2,S,null,126
183.32,WaitUntil,2,S,false,126
183.62,Resume,2,S,null,127
183.62,WaitUntil,2,S,false,127
183.92,Resume,2,S,null,128
183.92,WaitUntil,2,S,false,128
184.22,Resume,2,S,null,129
184.22,WaitUntil,2,S,false,129
185.77,Resume,1,S,null,22
185.77,WaitUntil,1,S,false,22
186.82,Enter,5,E,null,339
186.82,Resume,5,E,null,339
186.82,WaitUntil,5,E,false,339
186.82,Resume,null,null,null,339
186.82,CheckWait,null,null,null,null
188.23,Resume,1,S,null,23
188.23,WaitUntil,1,S,false,23
188.85,Enter,5,W,null,279
