time,type,intersection,direction,vehicle
171.40,Arrival,1,S,48
172.04,Arrival,3,E,537
172.04,Departure,3,E,537
172.54,Exit,5,N,602
173.30,RedWestTurnLeft,5,null,null
173.32,Arrival,2,S,40
173.90,GreenEastTurnRight,5,null,null
173.90,Departure,5,E,690
174.20,Departure,5,E,691
174.50,Departure,5,E,692
174.72,Arrival,1,S,49
175.12,Arrival,5,W,603
175.39,Arrival,3,S,9
175.69,Arrival,3,S,11
175.99,Arrival,3,S,12
176.14,Arrival,1,S,50
176.29,Arrival,3,S,13
176.30,GreenEastTurnRight,2,null,null
176.30,GreenWestTurnLeft,2,null,null
176.30,Departure,2,W,433
176.59,Arrival,3,S,14
176.60,Departure,2,W,434
176.89,Arrival,3,S,15
176.90,Arrival,2,S,41
176.90,Departure,2,W,435
176.94,Arrival,1,S,51
177.19,Arrival,3,S,16
177.20,Departure,2,W,436
177.49,Arrival,3,S,17
177.79,Arrival,3,S,18
178.09,Arrival,3,S,19
178.39,Arrival,3,S,22
178.69,Arrival,3,S,23
178.86,Arrival,5,W,604
178.99,Arrival,3,S,24
179.29,Arrival,3,S,26
179.30,Arrival,1,E,386
179.30,Departure,1,E,386
179.59,Arrival,3,S,27
179.89,Arrival,3,S,30
180.04,Exit,5,N,690
180.34,Exit,5,N,691
180.49,Arrival,3,S,33
180.64,Exit,5,N,692
180.79,Arrival,3,S,34
180.90,Arrival,1,S,52
181.02,Arrival,1,S,53
181.52,Arrival,2,S,311
181.82,Arrival,2,S,312
182.12,Arrival,2,S,313
182.42,Arrival,2,S,314
182.72,Arrival,2,S,315
182.78,Arrival,3,W,481
182.78,Departure,3,W,481
182.83,Arrival,1,S,54
182.90,Arrival,3,W,482
182.90,Departure,3,W,482
183.02,Arrival,2,S,316
183.32,Arrival,2,S,317
183.39,Arrival,5,W,605
183.87,Arrival,1,S,55
185.46,Arrival,5,S,432
185.47,Arrival,3,E,538
185.47,Departure,3,E,538
185.70,Arrival,1,S,56
186.26,Arrival,3,W,483
186.26,Departure,3,W,483
186.30,Arrival,5,W,606
186.84,Arrival,1,S,57
188.35,Arrival,5,W,607
188.53,Arrival,1,S,58
188.98,Arrival,1,S,59
190.25,Arrival,1,S,60
190.27,Arrival,5,W,608
190.65,Arrival,2,W,437
190.65,Departure,2,W,437
190.91,Arrival,1,S,61
190.92,Arrival,5,W,609
191.66,Arrival,5,E,693
191.66,Departure,5,E,693
192.11,Arrival,5,S,1
192.36,Arrival,5,W,610
192.41,Arrival,5,S,2
192.71,Arrival,5,S,4
193.01,Arrival,5,S,5
193.08,Arrival,5,E,694
193.08,Departure,5,E,694
193.31,Arrival,5,S,309
193.61,Arrival,5,S,372
193.91,Arrival,5,S,373
194.21,Arrival,5,S,374
194.32,Arrival,2,S,380
194.51,Arrival,5,S,375
194.62,Arrival,2,S,381
194.75,Arrival,1,S,62
194.81,Arrival,5,S,376
194.92,Arrival,2,S,382
194.94,Arrival,1,E,387
194.94,Departure,1,E,387
195.11,Arrival,5,S,377
195.22,Arrival,2,S,383
195.41,Arrival,5,S,378
195.52,Arrival,2,S,384
195.82,Arrival,2,S,385
195.98,Arrival,3,E,539
195.98,Departure,3,E,539
196.05,Arrival,5,W,611
197.79,Exit,5,N,693
198.53,Arrival,1,S,63
199.15,Arrival,5,W,612
199.21,Exit,5,N,694
199.33,Arrival,1,S,64
199.60,RedEastTurnRight,3,null,null
199.60,GreenSouth,3,W,null
199.60,RedWestTurnLeft,3,null,null
199.60,GreenSouth,3,N,null
199.60,Departure,3,S,9
199.60,Exit,3,E,15
199.80,RedEastTurnRight,5,null,null
199.80,GreenSouth,5,W,null
199.80,RedWestTurnLeft,5,null,null
199.80,Exit,5,W,522
199.90,Departure,3,S,11
200.10,Exit,5,W,523
200.20,GreenSouth,2,W,null
200.20,RedWestTurnLeft,2,null,null
200.20,RedEastTurnRight,2,null,null
200.20,GreenSouth,2,N,null
200.20,Exit,2,W,314
200.20,Departure,2,S,39
200.20,Departure,3,S,12
200.40,Exit,5,W,524
200.50,Exit,2,W,316
200.50,Departure,2,S,40
200.50,Departure,3,S,13
200.70,Exit,5,W,473
200.80,GreenSouth,1,W,null
200.80,RedEastTurnRight,1,null,null
200.80,RedWestTurnLeft,1,null,null
200.80,Exit,1,W,31
200.80,Departure,2,S,41
200.80,Departure,3,S,14
201.00,Exit,5,W,526
